TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_UF_PROVA;SG_UF_PROVA;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;NU_NOTA_REDACAO
11;M;1;3;1;1;11;1;3;0;51;MT;;;;;
3;M;0;3;1;1;1;1;1;0;52;GO;618.6;622.4;455.9;689;620
5;F;0;4;1;1;2;1;3;0;35;SP;465.4;601.6;538.5;466.1;480
14;F;1;1;1;4;0;1;;0;31;MG;472;617.5;496.5;373.7;520
3;F;0;3;1;1;1;1;3;0;35;SP;437.3;462.3;424.5;409.9;360
3;F;0;3;1;1;2;1;1;0;21;MA;403.6;542.2;512.5;543;560
13;F;2;3;1;1;12;1;1;0;31;MG;470.6;597;524.4;551.8;300
4;F;0;2;1;1;2;1;;0;53;DF;500.3;597.3;534.7;499.2;880
11;F;0;0;1;1;9;1;;0;29;BA;591.5;620.7;528.7;545.7;500
3;F;0;3;1;2;0;2;1;0;23;CE;451.6;429.6;426.9;461;480
3;F;0;1;1;1;1;1;;0;31;MG;;;;;
11;M;;1;1;1;9;1;1;0;31;MG;;;;;
3;F;0;3;1;1;1;1;;0;29;BA;;;;;
7;F;0;3;1;1;4;1;1;0;31;MG;;;;;
2;F;0;3;1;2;0;2;1;0;23;CE;447.5;576.3;508.4;396.8;580
2;F;0;2;1;2;0;2;1;0;15;PA;560.5;628.9;623;540.1;660
3;F;0;1;1;1;1;1;1;0;35;SP;510.5;547.7;499;398;520
1;F;0;1;1;3;0;1;;1;33;RJ;;;;;
5;F;0;3;1;1;1;1;1;0;23;CE;;;;;
4;F;0;1;1;1;2;1;1;0;26;PE;563.7;607.5;592.3;437.8;620
3;F;0;1;1;2;0;2;1;0;43;RS;567;580.7;493.9;580.5;620
16;M;1;3;1;1;1;1;;0;43;RS;385.3;565.8;453.2;411.2;260
12;M;;3;1;1;12;1;1;0;24;RN;553.5;645.2;523.8;552.8;460
11;F;0;5;1;1;6;1;3;0;26;PE;438.9;436.1;468;386.6;360
12;M;1;3;1;1;12;1;1;0;29;BA;621.4;516.9;551.3;443.4;800
13;F;0;1;1;1;12;1;1;0;31;MG;450.2;506.7;405.5;464.6;460
9;F;0;3;1;1;5;1;1;0;51;MT;520.9;636.4;442.9;447.3;320
5;M;0;3;1;1;3;1;1;0;35;SP;;;;;
7;F;0;3;1;1;5;1;1;0;13;AM;;;;;
5;M;0;1;1;1;2;1;1;0;31;MG;;;;;
12;M;1;3;1;1;12;1;1;0;15;PA;;;;;
8;F;0;2;2;2;0;2;1;0;22;PI;412.7;499.6;484.3;408.5;400
3;F;0;0;1;2;0;2;1;0;13;AM;499.8;496.8;423.6;382.2;420
9;F;1;1;1;1;7;1;1;0;35;SP;539.5;631.2;579.7;416;360
1;M;0;3;1;3;0;1;;1;28;SE;595.2;598.6;579.8;679.9;640
13;F;0;1;1;1;12;1;;0;41;PR;556.1;618.9;559.2;406.2;680
16;F;1;2;1;1;9;1;3;0;29;BA;402.9;509.7;369.2;427.4;220
6;M;0;2;1;1;3;1;1;0;25;PB;;;;;
11;M;0;3;1;1;2;1;3;0;21;MA;525.2;628.3;604.6;505.3;480
11;M;0;1;1;1;9;1;1;0;26;PE;;;;;
4;M;0;1;1;1;1;1;1;0;31;MG;569.2;521.1;487.3;480.6;280
4;M;;1;1;1;0;1;;0;33;RJ;647.6;718.5;683.4;738.1;940
3;M;0;3;1;2;0;2;1;0;26;PE;505.7;615.6;532.5;506;400
3;F;0;3;1;2;0;2;1;0;13;AM;404.2;453;511.2;516.3;600
4;M;0;1;1;1;1;1;;0;29;BA;605.2;663.4;642.9;689.7;700
11;F;1;3;1;1;11;1;1;0;35;SP;569.2;526.7;583.4;489.1;540
8;F;2;3;1;1;3;1;1;0;35;SP;;;;;
4;F;0;2;1;1;1;1;;0;35;SP;471.5;562.5;466.3;421.4;480
14;M;0;3;1;2;0;2;3;0;26;PE;;;;;
3;F;0;3;1;1;1;1;1;0;15;PA;436.7;568.3;554.5;546.9;380
2;M;0;1;1;3;0;1;;1;28;SE;452.4;539.9;423.3;431.8;480
13;F;1;2;1;1;12;1;;0;52;GO;441.2;636.4;661;642.2;640
6;M;0;1;1;1;4;1;;0;14;RR;459.1;495.5;483.5;498.9;320
4;F;0;1;1;1;2;1;1;0;43;RS;434.9;532.4;545.3;572.2;460
6;F;0;1;1;1;3;1;1;0;31;MG;525.4;639;616.2;515;580
12;F;1;2;1;1;10;1;1;0;26;PE;492.6;591.5;484.1;425.9;520
3;F;0;1;1;2;0;1;3;0;42;SC;414.2;554.9;469.6;515.7;560
16;M;1;2;1;1;12;1;3;0;33;RJ;;550.6;551.5;;300
14;F;2;3;1;1;12;1;1;0;35;SP;434.6;619.6;385.1;445.9;320
12;F;1;2;1;1;1;1;;0;33;RJ;473.7;598.7;485.3;448.5;320
7;M;0;1;1;1;4;1;1;0;13;AM;378.7;496.3;403.1;482.4;340
10;M;0;3;1;1;8;1;;0;23;CE;387.2;603.6;548.2;572;520
4;M;0;3;1;1;1;1;1;0;25;PB;372.1;533.4;462.1;434.8;440
6;F;0;2;1;1;3;1;1;0;29;BA;385.2;492.9;538.4;458.9;360
4;F;0;3;1;1;1;1;1;0;52;GO;577.9;612.9;533.1;486.9;620
9;M;0;2;1;1;7;1;;0;35;SP;505.4;599.6;562.8;487.1;540
9;F;0;3;1;2;0;2;3;0;33;RJ;;405.1;496.3;;480
3;F;0;3;1;2;0;2;1;0;27;AL;437.3;484;471.5;424.3;380
4;F;0;3;1;1;1;1;1;0;29;BA;468.6;569.7;505.8;513.7;660
2;F;0;1;1;2;0;2;1;0;29;BA;418.3;577.7;463.8;479.9;580
6;F;0;1;1;1;3;1;;0;26;PE;560.5;503.5;505.2;482.7;640
5;F;0;1;1;1;3;1;1;0;33;RJ;605.7;620.6;475.7;577.2;600
7;M;0;3;1;1;4;1;1;0;11;RO;514.7;627.5;566.8;529.1;400
10;F;0;2;1;3;0;1;;0;35;SP;380.9;544.9;489.3;484.9;340
10;F;0;1;1;1;12;1;1;0;35;SP;488.5;579.6;608;480;540
1;F;0;3;1;3;0;1;;1;21;MA;498.4;438.3;515.1;425.1;380
4;M;0;3;1;1;1;1;1;0;11;RO;607.8;650.2;606.4;496.8;820
5;M;0;4;2;1;2;1;;0;26;PE;447.9;599.7;547.6;449;640
3;F;0;1;1;1;1;1;1;0;35;SP;713.1;747.5;655.9;737.8;920
12;F;0;3;1;1;9;1;3;0;24;RN;386;434.2;387.2;396.9;360
9;F;0;3;1;1;3;1;1;0;31;MG;439.1;593.3;473.5;401.3;300
9;F;0;3;1;1;6;1;;0;50;MS;;;;;
5;F;0;3;1;1;3;1;1;0;23;CE;433.5;564.5;555.9;560.3;580
10;M;0;1;1;1;6;1;;0;42;SC;510.1;525.7;546.1;380.6;320
4;M;0;1;1;1;1;1;;0;15;PA;566.8;655.9;592.5;714;900
5;F;0;1;2;1;3;1;1;0;26;PE;417.6;550.2;548.8;391.7;620
5;F;0;3;1;1;2;1;1;0;33;RJ;429.9;584.7;539.9;615.1;400
15;M;0;5;1;1;9;1;;0;13;AM;392.1;423.3;414.7;426.9;260
12;M;1;1;1;1;12;1;;0;31;MG;693.9;674.4;672.9;687.8;820
4;F;0;1;1;1;2;1;1;0;25;PB;;;;;
7;M;0;3;1;1;4;1;1;0;21;MA;;;;;
3;F;0;1;1;2;0;4;1;0;35;SP;457.2;519.6;521.6;399.6;0
2;M;0;3;1;2;0;1;1;0;35;SP;424.7;456.5;481.9;502;560
2;F;0;1;1;2;0;2;1;0;22;PI;610.5;695.7;659.9;773;920
13;F;0;3;1;1;12;1;1;0;33;RJ;;;;;
5;F;0;1;1;1;2;1;1;0;43;RS;452.7;642;597.9;485.3;600
5;F;1;3;1;1;2;1;1;0;52;GO;;;;;
4;F;0;3;1;1;1;1;1;0;23;CE;462.3;540.1;507.8;527.2;580
5;F;0;3;1;1;3;1;1;0;21;MA;;529.8;418.7;;300
